IdPago,Pago,Rfc,Factura,FormaPago,Mensaje,ReferenciaManual
17,12749.559999999999490682967007160186767578125,N/E,null,null,null,N/A
18,17528.75999999999839928932487964630126953125,N/E,null,null,Sin referncia: RFC Ordenente del pago: ACT110316S47: Factura posible: 0F50C2CA-B0F0-41E6-BCDD-FB8C702226A90036070628,N/A
23,1000,N/E,null,null,null,N/A
3273,1.3000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3274,1.9499999999999999555910790149937383830547332763671875,N/E,null,null,Sin referencia,N/A
3275,4.88999999999999968025576890795491635799407958984375,N/E,null,null,Sin referencia,N/A
3276,5.45000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3277,7.45000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3278,442,N/E,null,null,Sin referencia,N/A
3279,30,N/E,null,null,Sin referencia,N/A
3280,0.059999999999999997779553950749686919152736663818359375,N/E,null,null,Sin referencia,N/A
3281,0.1000000000000000055511151231257827021181583404541015625,N/E,null,null,Sin referencia,N/A
3282,0.2099999999999999922284388276239042170345783233642578125,N/E,null,null,Sin referencia,N/A
3283,0.38000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3284,0.65000000000000002220446049250313080847263336181640625,N/E,null,null,Sin referencia,N/A
3285,0.90000000000000002220446049250313080847263336181640625,N/E,null,null,Sin referencia,N/A
3286,1.3000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3287,5.63999999999999968025576890795491635799407958984375,N/E,null,null,Sin referencia,N/A
3288,2717.989999999999781721271574497222900390625,N/E,null,null,Sin referencia,N/A
3289,264.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3290,0.54000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3291,3.390000000000000124344978758017532527446746826171875,N/E,null,null,Sin referencia,N/A
3292,5.4900000000000002131628207280300557613372802734375,N/E,null,null,Sin referencia,N/A
3293,34.28999999999999914734871708787977695465087890625,N/E,null,null,Sin referencia,N/A
3294,663.8999999999999772626324556767940521240234375,N/E,null,null,Sin referencia,N/A
3295,1.3600000000000000976996261670137755572795867919921875,N/E,null,null,Sin referencia,N/A
3296,8.480000000000000426325641456060111522674560546875,N/E,null,null,Sin referencia,N/A
3297,656,N/E,null,null,Sin referencia,N/A
3298,1.3400000000000000799360577730112709105014801025390625,N/E,null,null,Sin referencia,N/A
3299,8.3900000000000005684341886080801486968994140625,N/E,null,null,Sin referencia,N/A
3300,852.48000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3301,492,N/E,null,null,Sin referencia,N/A
3302,0.309999999999999997779553950749686919152736663818359375,N/E,null,null,Sin referencia,N/A
3303,1.0100000000000000088817841970012523233890533447265625,N/E,null,null,Sin referencia,N/A
3304,1.9499999999999999555910790149937383830547332763671875,N/E,null,null,Sin referencia,N/A
3305,2.3300000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3306,6.29000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3307,14.57000000000000028421709430404007434844970703125,N/E,null,null,Sin referencia,N/A
3308,860.3700000000000045474735088646411895751953125,N/E,null,null,Sin referencia,N/A
3309,326.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3310,0.67000000000000003996802888650563545525074005126953125,N/E,null,null,Sin referencia,N/A
3311,2.350000000000000088817841970012523233890533447265625,N/E,null,null,Sin referencia,N/A
3312,4.17999999999999971578290569595992565155029296875,N/E,null,null,Sin referencia,N/A
3313,14.71000000000000085265128291212022304534912109375,N/E,null,null,Sin referencia,N/A
3314,2196,N/E,null,null,Sin referencia,N/A
3315,241,N/E,null,null,Sin referencia,N/A
3316,0.66000000000000003108624468950438313186168670654296875,N/E,null,null,Sin referencia,N/A
3317,3.75,N/E,null,null,Sin referencia,N/A
3318,4.12000000000000010658141036401502788066864013671875,N/E,null,null,Sin referencia,N/A
3319,23.440000000000001278976924368180334568023681640625,N/E,null,null,Sin referencia,N/A
3320,1006.529999999999972715158946812152862548828125,N/E,null,null,Sin referencia,N/A
3321,2.060000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3322,12.8599999999999994315658113919198513031005859375,N/E,null,null,Sin referencia,N/A
3323,318,N/E,null,null,Sin referencia,N/A
3324,0.65000000000000002220446049250313080847263336181640625,N/E,null,null,Sin referencia,N/A
3325,4.07000000000000028421709430404007434844970703125,N/E,null,null,Sin referencia,N/A
